Entering mode: Disabled
Entering mode: Autonomous
0.394024: Starting autonomous program
0.394024: Starting step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Ending step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Starting step 'AutoPrintPosition'
Sample 194: Time 2.331092, Positions 0.035641, -0.057832 @ 11.931731
Sample 195: Time 2.346696, Positions 0.035641, -0.057832 @ 17.777976
Sample 196: Time 2.362319, Positions 0.035641, -0.057832 @ 23.624221
Sample 197: Time 2.377973, Positions 0.035641, -0.057832 @ 29.564165
Sample 198: Time 2.393572, Positions 0.035641, -0.057832 @ 35.550964
Sample 199: Time 2.409234, Positions 0.035641, -0.057832 @ 41.584712
Sample 200: Time 2.424836, Positions 0.035641, -0.057832 @ 47.665229
Sample 201: Time 2.440460, Positions 0.035641, -0.057832 @ 53.792577
Sample 202: Time 2.456098, Positions 0.035641, -0.057832 @ 59.966750
Sample 203: Time 2.471785, Positions 0.035641, -0.057832 @ 66.187989
Sample 204: Time 2.487408, Positions 0.035641, -0.057832 @ 72.456072
Sample 205: Time 2.503037, Positions 0.035641, -0.057832 @ 78.770980
Sample 206: Time 2.518681, Positions 0.035641, -0.057832 @ 85.132884
Sample 207: Time 2.534324, Positions 0.035641, -0.057832 @ 91.541569
Sample 208: Time 2.549938, Positions 0.035641, -0.057832 @ 97.997083
Sample 209: Time 2.565565, Positions 0.035641, -0.057832 @ 104.499446
Sample 210: Time 2.581225, Positions -0.132096, 0.465419 @ 111.048769
Sample 211: Time 2.596807, Positions 0.094227, -0.035286 @ 117.598093
Sample 212: Time 2.612407, Positions 0.094227, -0.035286 @ 124.240867
Sample 213: Time 2.628058, Positions 0.094227, -0.035286 @ 130.930475
Sample 214: Time 2.643672, Positions 0.094227, -0.035286 @ 137.666867
Sample 215: Time 2.659333, Positions 0.094227, -0.035286 @ 144.450162
Sample 216: Time 2.674927, Positions 0.094227, -0.035286 @ 151.280247
Sample 217: Time 2.690567, Positions 0.094227, -0.035286 @ 158.110332
Sample 218: Time 2.706202, Positions 0.094227, -0.035286 @ 165.034167
Sample 219: Time 2.721805, Positions 0.094227, -0.035286 @ 172.004876
Sample 220: Time 2.737413, Positions 0.094227, -0.035286 @ 179.022347
Sample 221: Time 2.753050, Positions 0.094227, -0.035286 @ -173.913282
Sample 222: Time 2.768738, Positions 0.094227, -0.035286 @ -166.801902
Sample 223: Time 2.784368, Positions 0.094227, -0.035286 @ -159.643735
Sample 224: Time 2.799968, Positions 0.094227, -0.035286 @ -152.438737
Sample 225: Time 2.815584, Positions 0.094227, -0.035286 @ -145.186922
Sample 226: Time 2.831215, Positions 0.094227, -0.035286 @ -137.935108
Sample 227: Time 2.846811, Positions 0.094227, -0.035286 @ -130.636402
